127.0.0.1 - - [14/Oct/2022:14:34:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 200 210612
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/libs/js/main-js.js HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js HTTP/1.1" 200 40214
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/sparkline/jquery.sparkline.js HTTP/1.1" 200 123446
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.js HTTP/1.1" 200 73551
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/morris-bundle/raphael.min.js HTTP/1.1" 200 92631
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/d3-5.4.0.min.js HTTP/1.1" 200 236270
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/c3.min.js HTTP/1.1" 200 186986
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/C3chartjs.js HTTP/1.1" 200 13958
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/libs/js/dashboard-ecommerce.js HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/js/common.js HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/js/pdf.js HTTP/1.1" 200 515603
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js HTTP/1.1" 200 262327
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/CircularStd-Book.woff HTTP/1.1" 200 36612
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 200 44004
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/CircularStd-Medium.woff HTTP/1.1" 200 40840
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 9542
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/libs/css/style.css HTTP/1.1" 200 126498
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.css HTTP/1.1" 200 993
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/style.css HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 140421
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css HTTP/1.1" 200 14450
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/fontawesome/css/fontawesome-all.css HTTP/1.1" 200 46033
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/flag-icon-css/flag-icon.min.css HTTP/1.1" 200 12601
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/c3.css HTTP/1.1" 200 3284
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/css/common.css HTTP/1.1" 200 967
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/js/datedropper-javascript.js HTTP/1.1" 200 32510
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/css/summernote-bs4.css HTTP/1.1" 200 18597
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css HTTP/1.1" 200 77582
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/jquery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/js/datedropper-javascript-lang-KO.js HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/slimscroll/jquery.slimscroll.js HTTP/1.1" 200 13831
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js HTTP/1.1" 200 210612
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/libs/js/main-js.js HTTP/1.1" 200 4076
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js HTTP/1.1" 200 40214
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/sparkline/jquery.sparkline.js HTTP/1.1" 200 123446
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/morris-bundle/morris.js HTTP/1.1" 200 73551
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/morris-bundle/raphael.min.js HTTP/1.1" 200 92631
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/d3-5.4.0.min.js HTTP/1.1" 200 236270
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/c3.min.js HTTP/1.1" 200 186986
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/c3charts/C3chartjs.js HTTP/1.1" 200 13958
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/js/common.js HTTP/1.1" 200 3819
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/libs/js/dashboard-ecommerce.js HTTP/1.1" 200 7841
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/js/pdf.js HTTP/1.1" 200 515603
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js HTTP/1.1" 200 262327
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/CircularStd-Medium.woff HTTP/1.1" 200 40840
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/circular-std/CircularStd-Book.woff HTTP/1.1" 200 36612
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 200 44004
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:46:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:48:39 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:48:39 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:48:39 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8246
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/stu/lec/applyPage HTTP/1.1" 200 15996
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/js/pdf.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/stu/lec/applyPage HTTP/1.1" 200 15996
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/material-design-iconic-font/css/materialdesignicons.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/bootstrap/js/bootstrap.bundle.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/charts/chartist-bundle/chartist.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/js/pdf.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:42 +0900] "GET /ai/resources/bootstrap/assets/vendor/summernote/js/summernote-bs4.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:44 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:44 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:44 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:45 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:50:45 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:05 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:05 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:05 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:06 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:06 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:06 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:06 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:07 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:07 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:07 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:07 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:07 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:08 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:08 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:08 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:08 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:09 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8162
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:11 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:11 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:11 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:32 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:32 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:32 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:32 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:33 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:33 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:33 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:33 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:51:33 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:19 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:20 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:20 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:21 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:21 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:21 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:23 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:24 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:24 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:53:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 7152
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:23 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:24 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:24 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:24 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:24 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:27 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:28 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:29 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:29 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:29 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:30 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:30 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:30 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:31 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:31 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:31 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:55:31 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8630
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:44 +0900] "GET /ai/stu/aca/graduate HTTP/1.1" 200 19028
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:44 +0900] "GET /ai/stu/aca/ddit/resources/img/jj.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:56:47 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8894
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:57:25 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [14/Oct/2022:14:57:26 +0900] "GET /ai/stu/lec/mylecture/main HTTP/1.1" 200 8902
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:09:49 +0900] "GET /ai/stu/lec/mylecture//mylecture/assign/pds/detail HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:09:53 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:09:53 +0900] "GET /ai/resources/bootstrap/assets/vendor/fonts/fontawesome/webfonts/fa-regular-400.html HTTP/1.1" 200 12224
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:13:09 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6336
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:24 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:25 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:25 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:25 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:38 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:39 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:39 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
0:0:0:0:0:0:0:1 - - [14/Oct/2022:15:15:39 +0900] "GET /ai/stu/lec//mylecture/assign/pds/detail HTTP/1.1" 200 6220
